attraction_id,attraction_name,city,district,province,category,description,primary_activity,source_id,verified_date
KAN-A007,Bahirawakanda Vihara Buddha Statue,Kandy,Kandy,Central Province,Religious / Viewpoint,Prominent hilltop Buddha statue overlooking Kandy.,Religious & Spiritual Visit | Scenic Views | Photography,SRC-SLTOURISM,2026-08-19
KAN-A008,Kandy View Point,Kandy,Kandy,Central Province,Viewpoint,Elevated viewpoint overlooking Kandy city and lake.,Scenic Views | Photography | Sunset Viewing,SRC-SLTOURISM,2026-08-19
GAL-A001,Galle Fort,Galle,Galle,Southern Province,Historic Site,Historic fortified old town reflecting Portuguese and Dutch colonial heritage on Sri Lanka's southern coast.,Heritage Exploration | Architecture Exploration | Photography | Walking,SRC-OFFICIAL|SRC-CCF|SRC-REVIEWS,2026-08-19
GAL-A002,Galle Lighthouse,Galle,Galle,Southern Province,Landmark,Prominent lighthouse on the ramparts of Galle Fort overlooking the Indian Ocean.,Photography | Scenic Views | Heritage Exploration,SRC-SLTOURISM,2026-08-19
GAL-A003,National Maritime Museum Galle,Galle,Galle,Southern Province,Museum,Maritime museum housed within the historic Galle Fort area.,Museum Visit | Heritage Exploration | Maritime History,SRC-SLTOURISM,2026-08-19
GAL-A004,Dutch Reformed Church Galle,Galle,Galle,Southern Province,Religious / Historic Site,Historic Dutch-period church within Galle Fort.,Architecture Exploration | Heritage Exploration | Religious Visit,SRC-SLTOURISM,2026-08-19
GAL-A005,Galle Fort Ramparts,Galle,Galle,Southern Province,Historic / Scenic,"Seaward defensive walls surrounding the historic fort, popular for walking and sunset views.",Walking | Sunset Viewing | Photography | Heritage Exploration,SRC-SLTOURISM,2026-08-19
GAL-A006,Jungle Beach Rumassala,Galle,Galle,Southern Province,Beach / Nature,"Small beach near Rumassala, accessed from the greater Galle-Unawatuna area.",Beach Relaxation | Swimming | Nature Walk,SRC-SLTOURISM,2026-08-19
GAL-A007,Unawatuna Beach,Galle,Galle,Southern Province,Beach,"Popular beach close to Galle known for swimming, leisure and marine recreation.",Beach Relaxation | Swimming | Snorkeling,SRC-SLTOURISM,2026-08-19
ELA-A001,Little Adam's Peak,Ella,Badulla,Uva Province,Mountain / Viewpoint,Popular short hike near Ella with panoramic hill-country scenery.,Hiking | Scenic Views | Photography | Sunrise Viewing,SRC-SLTOURISM,2026-08-19
ELA-A002,Ravana Rock,Ella,Badulla,Uva Province,Mountain / Heritage,Mountain feature associated with the wider Ravana landscape and trekking around Ella.,Hiking | Scenic Views | Heritage Exploration,SRC-SLTOURISM,2026-08-19
ELA-A003,Ravana Falls,Ella,Badulla,Uva Province,Waterfall,Well-known roadside waterfall in the Ella area.,Waterfall Visit | Scenic Views | Photography,SRC-SLTOURISM,2026-08-19
ELA-A004,Ravana Cave and Temple,Ella,Badulla,Uva Province,Cave / Religious,Cave and temple attraction associated with local Ravana traditions.,Hiking | Heritage Exploration | Religious Visit,SRC-SLTOURISM,2026-08-19
ELA-A005,Nine Arch Bridge,Ella,Badulla,Uva Province,Railway Heritage,Iconic railway viaduct surrounded by hill-country vegetation near Ella.,Photography | Scenic Views | Railway Experience | Heritage Exploration,SRC-SLTOURISM,2026-08-19
ELA-A006,Kithal Ella Waterfall,Ella,Badulla,Uva Province,Waterfall,Waterfall in the Ella area reached through local trails and railway-side landscapes.,Trekking | Waterfall Visit | Photography,SRC-SLTOURISM,2026-08-19
ELA-A007,Ella Rock,Ella,Badulla,Uva Province,Mountain / Viewpoint,Major scenic hiking destination above Ella with broad hill-country views.,Hiking | Scenic Views | Photography,SRC-SLTOURISM,2026-08-19
ELA-A008,Nildiya Pokuna,Ella,Badulla,Uva Province,Cave / Natural Pool,Underground cave and blue-water pool attraction in the wider Ella area.,Adventure | Cave Exploration | Nature,SRC-SLTOURISM,2026-08-19
ELA-A009,Kurullangala Birds' Rock,Ella,Badulla,Uva Province,Mountain / Archaeology,Mountain site in the wider Ella region associated with rock art and trekking.,Mountain Hiking | Heritage Exploration | Photography,SRC-SLTOURISM,2026-08-19
JAF-A001,Jaffna Fort,Jaffna,Jaffna,Northern Province,Historic Site,Large colonial fort in Jaffna with Portuguese and Dutch-period history.,Heritage Exploration | Architecture Exploration | Photography,SRC-REVIEWS,2026-08-19
JAF-A002,Nallur Kandaswamy Kovil,Jaffna,Jaffna,Northern Province,Religious Site,Major Hindu temple in Jaffna and an important centre of Tamil religious culture.,Religious & Spiritual Visit | Local Culture Experience | Architecture,SRC-REVIEWS,2026-08-19
JAF-A003,Jaffna Public Library,Jaffna,Jaffna,Northern Province,Cultural Landmark,Major cultural and educational landmark in Jaffna city.,Architecture Exploration | Local Culture Experience | History,SRC-SLTOURISM,2026-08-19
JAF-A004,Jaffna Archaeological Museum,Jaffna,Jaffna,Northern Province,Museum,Regional museum presenting archaeological and cultural material from northern Sri Lanka.,Museum Visit | Heritage Exploration | History,SRC-SLTOURISM,2026-08-19
JAF-A005,Nagadeepa Purana Vihara,Jaffna,Jaffna,Northern Province,Religious Site,Important Buddhist pilgrimage site on Nainativu island.,Religious & Spiritual Visit | Heritage Exploration | Boat Journey,SRC-SLTOURISM,2026-08-19
JAF-A006,Nagapooshani Amman Temple,Jaffna,Jaffna,Northern Province,Religious Site,Prominent Hindu temple on Nainativu island.,Religious & Spiritual Visit | Local Culture Experience | Architecture,SRC-SLTOURISM,2026-08-19
JAF-A007,Casuarina Beach,Jaffna,Jaffna,Northern Province,Beach,Popular shallow-water beach on the Jaffna peninsula.,Beach Relaxation | Swimming | Sunset Viewing,SRC-SLTOURISM,2026-08-19
JAF-A008,Delft Island,Jaffna,Jaffna,Northern Province,Island / Heritage,"Island west of Jaffna known for distinctive landscapes, colonial remains and local culture.",Boat Journey | Heritage Exploration | Local Culture | Photography,SRC-SLTOURISM,2026-08-19
NUE-A001,Horton Plains National Park,Nuwara Eliya,Nuwara Eliya,Central Province,National Park,"High-altitude protected landscape known for montane grasslands, cloud forest and trekking.",Hiking | Nature Walk | Wildlife | Scenic Views,SRC-SLTDA|SRC-REVIEWS,2026-08-19
NUE-A002,World's End,Nuwara Eliya,Nuwara Eliya,Central Province,Viewpoint,Dramatic escarpment viewpoint reached on the Horton Plains circuit.,Hiking | Scenic Views | Photography,SRC-REVIEWS,2026-08-19
NUE-A003,Baker's Falls,Nuwara Eliya,Nuwara Eliya,Central Province,Waterfall,Waterfall reached along the Horton Plains walking circuit.,Waterfall Visit | Hiking | Photography,SRC-REVIEWS,2026-08-19
NUE-A004,Victoria Park Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,Central Province,Urban Park / Garden,"Landscaped park in Nuwara Eliya suited to walking, birding and relaxation.",Garden Visit | Nature Walk | Bird Watching,SRC-SLTOURISM,2026-08-19
NUE-A005,Gregory Lake,Nuwara Eliya,Nuwara Eliya,Central Province,Lake / Recreation,Recreational lake in Nuwara Eliya with scenic waterside activities.,Scenic Views | Walking | Boating | Relaxation,SRC-SLTOURISM,2026-08-19
NUE-A006,Pedro Tea Estate,Nuwara Eliya,Nuwara Eliya,Central Province,Tea Estate,Tea estate and factory area near Nuwara Eliya associated with Ceylon tea production.,Tea Experience | Local Culture | Photography,SRC-SLTOURISM,2026-08-19
NUE-A007,Damro Labookellie Tea Centre and Tea Garden,Nuwara Eliya,Nuwara Eliya,Central Province,Tea Estate / Factory,Tea centre and garden offering tea-production interpretation and tasting experiences.,Tea Experience | Factory Tour | Scenic Views,SRC-REVIEWS,2026-08-19
NUE-A008,Bluefield Tea Gardens,Nuwara Eliya,Nuwara Eliya,Central Province,Tea Estate / Factory,Tea garden and factory attraction offering tea-production experiences.,Tea Experience | Factory Tour | Scenic Views,SRC-REVIEWS,2026-08-19
NUE-A009,Ambewela Farms,Nuwara Eliya,Nuwara Eliya,Central Province,Farm,Highland dairy-farm attraction in the Nuwara Eliya region.,Farm Experience | Local Food | Scenic Views,SRC-REVIEWS,2026-08-19
MIR-A001,Mirissa Beach,Mirissa,Matara,Southern Province,Beach,"Popular southern beach destination known for leisure, swimming and sunsets.",Beach Relaxation | Swimming | Sunset Viewing,SRC-SLTOURISM,2026-08-19
MIR-A002,Whale Watching Mirissa,Mirissa,Matara,Southern Province,Marine Wildlife Experience,Marine excursion area associated with whale and dolphin watching off Sri Lanka's south coast.,Whale Watching | Marine Wildlife | Boating,SRC-SLTOURISM,2026-08-19
MIR-A003,Coconut Tree Hill,Mirissa,Matara,Southern Province,Viewpoint / Coastal,Palm-covered coastal viewpoint near Mirissa.,Photography | Scenic Views | Sunset Viewing,SRC-SLTOURISM,2026-08-19
MIR-A004,Parrot Rock,Mirissa,Matara,Southern Province,Coastal Viewpoint,"Small rocky viewpoint just off Mirissa Beach, accessible in suitable sea conditions.",Scenic Views | Photography | Beach Walk,SRC-SLTOURISM,2026-08-19
MIR-A005,Secret Beach Mirissa,Mirissa,Matara,Southern Province,Beach,Smaller beach area near Mirissa used for coastal relaxation.,Beach Relaxation | Swimming | Photography,SRC-SLTOURISM,2026-08-19
SIG-A001,Sigiriya Rock Fortress,Sigiriya,Matale,Central Province,Archaeological / Heritage Site,"Ancient rock citadel with palace remains, gardens, frescoes and panoramic views.",Heritage Exploration | Hiking | Architecture | Photography,SRC-SLTDA|SRC-CCF,2026-08-19
SIG-A002,Sigiriya Museum,Sigiriya,Matale,Central Province,Museum,"Interpretive museum presenting the archaeology, history and landscape of Sigiriya.",Museum Visit | Heritage Exploration | History,SRC-CCF,2026-08-19
SIG-A003,Pidurangala Rock,Sigiriya,Matale,Central Province,Mountain / Viewpoint,Rock hike near Sigiriya offering views toward the Sigiriya rock landscape.,Hiking | Sunrise Viewing | Scenic Views | Photography,SRC-SLTOURISM,2026-08-19
DAM-A001,Dambulla Cave Temple,Dambulla,Matale,Central Province,Religious / Heritage Site,Historic cave-temple complex containing Buddhist statues and extensive wall paintings.,Religious & Spiritual Visit | Heritage Exploration | Cave Exploration | Art,SRC-SLTDA|SRC-CCF|SRC-REVIEWS,2026-08-19
DAM-A002,Dambulla Museum,Dambulla,Matale,Central Province,Museum,Museum supporting interpretation of Dambulla's archaeological and cultural heritage.,Museum Visit | Heritage Exploration,SRC-CCF,2026-08-19
DAM-A003,Ibbankatuwa Megalithic Tombs,Dambulla,Matale,Central Province,Archaeological Site,Prehistoric burial site near Dambulla providing evidence of early settlement and funerary traditions.,Archaeology | Heritage Exploration | History,SRC-SLTDA,2026-08-19
DAM-A004,Namal Uyana / Rose Quartz Mountain,Dambulla,Matale,Central Province,Nature / Heritage,Ironwood forest and rose-quartz mountain landscape in the wider Dambulla region.,Nature Walk | Hiking | Scenic Views,SRC-SLTDA,2026-08-19
ARU-A001,Arugam Bay Beach,Arugam Bay,Ampara,Eastern Province,Beach / Surf,Eastern-coast bay internationally associated with surfing and beach tourism.,Surfing | Beach Relaxation | Swimming | Photography,SRC-SLTDA|SRC-REVIEWS,2026-08-19
ARU-A002,Main Point Arugam Bay,Arugam Bay,Ampara,Eastern Province,Surf Break,Prominent surf break at Arugam Bay.,Surfing | Photography,SRC-SLTOURISM,2026-08-19
ARU-A003,Pottuvil Point,Arugam Bay,Ampara,Eastern Province,Beach / Surf,Surfing and coastal area north of Arugam Bay near Pottuvil.,Surfing | Beach Relaxation | Scenic Views,SRC-SLTOURISM,2026-08-19
ARU-A004,Peanut Farm Beach,Arugam Bay,Ampara,Eastern Province,Beach / Surf,Beach and surf location south of Arugam Bay.,Surfing | Beach Relaxation | Sunset Viewing,SRC-SLTOURISM,2026-08-19
ARU-A005,Muhudu Maha Viharaya,Arugam Bay,Ampara,Eastern Province,Religious / Archaeological Site,Historic Buddhist temple and archaeological site near Pottuvil on the eastern coast.,Religious & Spiritual Visit | Heritage Exploration | Archaeology,SRC-SLTOURISM,2026-08-19
ARU-A006,Kudumbigala Monastery,Arugam Bay,Ampara,Eastern Province,Religious / Nature Site,Ancient forest monastery complex in the wider Arugam Bay region.,Religious & Spiritual Visit | Hiking | Heritage Exploration | Scenic Views,SRC-SLTOURISM,2026-08-19
ARU-A007,Kumana National Park,Arugam Bay,Ampara,Eastern Province,National Park,"Protected wetland and wildlife area south of Arugam Bay, especially important for birds.",Wildlife Safari | Bird Watching | Nature | Photography,SRC-SLTOURISM,2026-08-19
BAN-A001,Dowa Rock Temple,Bandarawela,Badulla,Uva Province,Religious / Heritage Site,Historic rock temple near Bandarawela with Buddhist imagery and a large unfinished rock-carved Buddha figure.,Religious & Spiritual Visit | Heritage Exploration | Photography,SRC-SLTOURISM,2026-08-19
BAN-A002,Porawagala Viewpoint,Bandarawela,Badulla,Uva Province,Viewpoint,Hill viewpoint overlooking Bandarawela and surrounding Uva landscapes.,Scenic Views | Photography | Hiking,SRC-SLTOURISM,2026-08-19
BAN-A003,St Anthony's Church Bandarawela,Bandarawela,Badulla,Uva Province,Religious Site,Christian religious landmark in Bandarawela.,Religious & Spiritual Visit | Architecture Exploration,SRC-SLTOURISM,2026-08-19
BAN-A004,Bandarawela Railway Station,Bandarawela,Badulla,Uva Province,Railway Heritage,Hill-country railway station serving Bandarawela and the scenic Main Line.,Train Journey Experience | Railway Heritage | Photography,SRC-SLTOURISM,2026-08-19
BAN-A005,Dambatenne Tea Factory,Bandarawela,Badulla,Uva Province,Tea Estate / Factory,Historic tea factory in the Haputale-Bandarawela region associated with Sir Thomas Lipton.,Tea Experience | Factory Tour | Heritage Exploration,SRC-REVIEWS,2026-08-19
BAN-A006,Lipton's Seat,Bandarawela,Badulla,Uva Province,Viewpoint / Tea Country,Highland viewpoint above Dambatenne tea country in the wider Bandarawela-Haputale area.,Scenic Views | Hiking | Tea Experience | Sunrise Viewing,SRC-SLTOURISM,2026-08-19
YAL-A001,Yala National Park,Yala,Hambantota / Monaragala,Southern / Uva Province,National Park,Major national park in southeastern Sri Lanka with diverse habitats and wildlife safari experiences.,Wildlife Safari | Leopard Watching | Elephant Watching | Bird Watching | Photography,SRC-SLTDA|SRC-REVIEWS,2026-08-19
YAL-A002,Sithulpawwa Rajamaha Viharaya,Yala,Hambantota / Monaragala,Southern / Uva Province,Religious / Archaeological Site,Ancient Buddhist monastic site within the wider Yala landscape.,Religious & Spiritual Visit | Heritage Exploration | Archaeology,SRC-SLTOURISM,2026-08-19
YAL-A003,Magul Maha Viharaya,Yala,Hambantota / Monaragala,Southern / Uva Province,Religious / Archaeological Site,Ancient Buddhist archaeological complex in southeastern Sri Lanka accessible from the broader Yala-Arugam Bay circuit.,Religious & Spiritual Visit | Heritage Exploration | Archaeology,SRC-SLTOURISM,2026-08-19
ANU-A001,Abhayagiri Dagaba,Anuradhapura,Anuradhapura,North Central Province,Religious / Archaeological Site,Major ancient monastic stupa complex in Anuradhapura.,Religious & Spiritual Visit | Heritage Exploration | Archaeology,SRC-REVIEWS|SRC-CCF,2026-08-19
ANU-A002,Isurumuniya Temple,Anuradhapura,Anuradhapura,North Central Province,Religious / Archaeological Site,"Ancient rock temple known for carvings, pond and Buddhist heritage.",Religious & Spiritual Visit | Heritage Exploration | Art | Photography,SRC-REVIEWS,2026-08-19
ANU-A003,Sri Maha Bodhi,Anuradhapura,Anuradhapura,North Central Province,Religious Site,Sacred Bodhi tree and major Buddhist pilgrimage site in Anuradhapura.,Religious & Spiritual Visit | Heritage Exploration,SRC-SLTOURISM,2026-08-19
ANU-A004,Ruwanwelisaya,Anuradhapura,Anuradhapura,North Central Province,Religious / Heritage Site,Large ancient stupa and major pilgrimage monument in Anuradhapura.,Religious & Spiritual Visit | Heritage Exploration | Architecture,SRC-SLTOURISM,2026-08-19
ANU-A005,Jethawanaramaya,Anuradhapura,Anuradhapura,North Central Province,Religious / Archaeological Site,Monumental ancient brick stupa and monastic archaeological complex.,Religious & Spiritual Visit | Heritage Exploration | Archaeology,SRC-SLTOURISM,2026-08-19
ANU-A006,Kuttam Pokuna,Anuradhapura,Anuradhapura,North Central Province,Archaeological Site,Ancient twin bathing ponds associated with the Abhayagiri monastic complex.,Heritage Exploration | Archaeology | Architecture,SRC-SLTOURISM,2026-08-19
ANU-A007,Samadhi Statue,Anuradhapura,Anuradhapura,North Central Province,Religious / Heritage Site,Ancient seated Buddha image in the Anuradhapura sacred city.,Religious & Spiritual Visit | Heritage Exploration | Art,SRC-SLTOURISM,2026-08-19
ANU-A008,Mihintale,Anuradhapura,Anuradhapura,North Central Province,Religious / Heritage Site,Sacred hill complex near Anuradhapura associated with the introduction of Buddhism to Sri Lanka.,Religious & Spiritual Visit | Hiking | Heritage Exploration | Scenic Views,SRC-SLTOURISM,2026-08-19
