food_id,food_name,alternate_names,category,meal_type,typical_spice_level,vegetarian_possible,vegan_possible,key_components,ella_relevance,recommendation_tags,source_type,source_url,verified_date,confidence
ELA-F013,Brinjal Moju,Wambatu moju,Pickle / side,"Lunch,Dinner",Sweet-Sour-Medium,Yes,Yes,"Fried eggplant pickle with onion, chilli, vinegar and spices",Common rice-and-curry accompaniment,"vegetarian,sweet-sour,side",Sri Lankan culinary context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.88
ELA-F014,Gotu Kola Sambol,Mallung / pennywort salad,Salad / side,"Lunch,Dinner",Mild-Medium,Yes,Yes,"Fresh gotu kola, coconut, onion, lime",Common fresh accompaniment,"healthy,vegetarian,local",Sri Lankan culinary context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.88
ELA-F015,Fish Curry,Sri Lankan fish curry,Fish curry,"Lunch,Dinner",Medium-High,No,No,Fish cooked in Sri Lankan curry spices,Common protein option in local meals,"fish,spicy,traditional",Sri Lankan culinary context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
ELA-F016,Chicken Curry,Sri Lankan chicken curry,Meat curry,"Lunch,Dinner",Medium-High,No,No,Chicken cooked in roasted Sri Lankan spices,Common rice-and-curry protein option,"chicken,spicy,traditional",Sri Lankan culinary context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
ELA-F017,Egg Curry,Biththara curry,Curry,"Breakfast,Lunch,Dinner",Medium,Yes,No,Boiled egg cooked in curry gravy,Cafe Chill menu offers egg curry with local staples,"egg,traditional",Restaurant menu,https://www.cafechill.lk/cafe-chill-ella-menu.html,2026-08-11,0.97
ELA-F018,Curd and Treacle,Kiri pani,Dessert,Dessert,Sweet,Yes,Yes,Buffalo curd served with kithul treacle,Widely available Sri Lankan dessert,"dessert,traditional",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
ELA-F019,Wattalappam,Watalappan,Dessert,Dessert,Sweet,Yes,No,Coconut custard with jaggery and spices,Common Sri Lankan dessert,"dessert,coconut",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
ELA-F020,Kiribath,Milk rice,Breakfast / ceremonial,Breakfast,Mild,Yes,Yes,Rice cooked with coconut milk,Traditional breakfast/ceremonial food,"breakfast,traditional",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
ELA-F021,Pittu,Pittu,Breakfast / main,"Breakfast,Dinner",Mild,Yes,Yes,Steamed flour and coconut mixture,Traditional Sri Lankan staple,"traditional,coconut",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.94
ELA-F022,Dosa,Thosai,Breakfast / main,"Breakfast,Lunch,Dinner",Mild-Medium,Yes,Yes,South Indian-style fermented crepe served with curry/sambar,Dedicated Dosa Café operates in Ella,"vegetarian,south-indian,budget",Current business evidence,https://www.google.com/maps/search/?api=1&query=Dosa+Cafe+Ella+Ella+Sri+Lanka,2026-08-11,0.94
ELA-F023,Ceylon Tea,Sri Lankan tea,Drink,Any,None,Yes,Yes,Black tea grown in Sri Lanka's hill country,Highly relevant due to surrounding tea-growing landscape,"tea,hill-country,beverage",Tourism / regional context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.91
ELA-F024,Ginger Tea,Tea with ginger,Drink,Any,None,Yes,Yes,Hot tea infused with ginger,Common hill-country cafe drink,"tea,warm-drink,hill-country",Restaurant/cafe context,https://www.baconismagic.ca/sri-lanka/ella-food-restaurants/,2026-08-11,0.78
ELA-F025,Fresh Fruit Juice,Seasonal fruit juice,Drink,Any,None,Yes,Yes,Freshly blended seasonal fruit,Repeatedly highlighted at casual Ella eateries including Matey Hut,"juice,refreshing,vegetarian",Review aggregation,https://www.tripadvisor.com/Restaurant_Review-g616035-d9813968-Reviews-Matey_Hut-Ella_Uva_Province.html,2026-08-11,0.84
