place_id,place_name,arugam_bay_area,address,place_type,cuisine_focus,local_food_strength,dietary_strength,price_band_lkr,rating,review_count,opening_hours,phone,signature_or_recommended_dishes,best_for,source_type,source_url,verified_date,confidence
ABY-P011,Haliaeetus Seafood Restaurant Arugambay,Pottuvil / Arugam Bay area,Arugam Bay area,Seafood restaurant,Seafood,High,Mixed,Budget-Mid,5.0,29,Current listing; verify,Not reliably listed,Fresh fish and seafood,"fresh-catch,seafood,quiet",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g3348959-d33095308-Reviews-Haliaeetus_Seafood_Restaurant_Arugambay-Arugam_Bay_Eastern_Province.html,2026-08-11,0.96
ABY-P012,Wave Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Restaurant,Seafood / mixed,Medium-High,Mixed,"Rs 2,000–6,000",4.9,103,Current listing; verify,Not reliably listed,Seafood,"seafood,modern,groups",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g3348959-d33036335-Reviews-Wave_Arugam_Bay-Arugam_Bay_Eastern_Province.html,2026-08-11,0.96
ABY-P013,Serendib Arugam Bay,Arugam Bay,"Arugam Bay, Eastern Province",Restaurant,Seafood,Medium-High,Mixed,"Rs 2,000–6,000",4.6,179,Current listing; verify,Not reliably listed,Seafood platter; prawns; calamari,"beach-dining,seafood",Tripadvisor current listing,https://www.tripadvisor.com/Restaurant_Review-g3348959-d23910391-Reviews-Serendib_Arugam_Bay-Arugam_Bay_Eastern_Province.html,2026-08-11,0.96
ABY-P014,Shady Lane,Sinhapura Road,"RRPP+786, Sinhapura Rd, Arugam Bay 32500",Cafe,Vegetarian / cafe,Low local-food strength,Vegetarian / vegan-friendly cafe profile,Mid,4.9,525,Verify current branch hours,+94 77 082 5420,Breakfast; cafe dishes; smoothies,"vegetarian,breakfast,surf-cafe",Current business listing,https://www.google.com/maps/search/?api=1&query=Shady+Lane+Arugam+Bay+Arugam+Bay+Sri+Lanka,2026-08-11,0.96
ABY-P015,Curry Leaves Arugam Bay,Panama Road,"Panama Rd, Arugam Bay 32500",Health food restaurant,Sri Lankan / healthy,Very High,Vegetarian-friendly,"Rs 2,000–3,000",4.9,62,11:00-23:00,+94 76 009 6764,Mango curry; traditional Sri Lankan dishes,"healthy,local-food,vegetarian",Current business + Tripadvisor,https://www.tripadvisor.com/Restaurant_Review-g3348959-d17439700-Reviews-Curry_Leaves-Arugam_Bay_Eastern_Province.html,2026-08-11,0.98
ABY-P016,Surf Resort Beach Restaurant,Beach area,Arugam Bay 32500,Seafood restaurant,Seafood,Medium-High,Mixed,"Rs 2,000–6,000",4.9,32,07:00-23:30,+94 77 780 4272,Seafood,"beach-dining,seafood",Current business listing,https://www.google.com/maps/search/?api=1&query=Surf+Resort+Beach+Restaurant+Arugam+Bay+Sri+Lanka,2026-08-11,0.96
ABY-P017,Fish Corner Restaurant,Main Street,"Main Street, Arugam Bay",Restaurant,Seafood / local,High,Mixed,"Rs 3,000–4,000",4.9,68,24 hours,+94 75 271 5665,Fresh fish; seafood,"late-night,seafood,fresh-catch",Current business listing,https://www.google.com/maps/search/?api=1&query=Fish+Corner+Restaurant+Arugam+Bay+Arugam+Bay+Sri+Lanka,2026-08-11,0.96
ABY-P018,Banana Surf Cafe,Main Street,"Main Street, Arugam Bay 32500",Cafe,Cafe / breakfast,Low local-food strength,Mixed,"Rs 2,000–3,000",4.9,212,07:30-17:00,+94 77 540 7670,Breakfast; cafe food,"breakfast,surf-cafe",Current business listing,https://www.google.com/maps/search/?api=1&query=Banana+Surf+Cafe+Arugam+Bay+Arugam+Bay+Sri+Lanka,2026-08-11,0.95
ABY-P019,Beach Hut Dinner,Arugam Bay beach area,Arugam Bay,Guesthouse dinner / communal meal,Sri Lankan / BBQ,High,Menu varies,Budget,,,Evening set-menu; verify current schedule,Not listed,Fish BBQ; changing set dinner,"social,bbq,budget,backpacker",Travel guide,https://www.thecoastalcampaign.com/arugam-bay-things-to-do/,2026-08-11,0.84
ABY-P020,Cook with Mona,Arugam Bay village,Traditional home setting in Arugam Bay,Cooking class / home dining,Sri Lankan,Very High,Can adapt dishes; verify dietary needs,Experience-based,,,Class/session based,Not listed,Rice and curry; coconut roti; coconut sambol; bean/pumpkin/chicken curry,"cooking-class,authentic-local,cultural-experience",Official website + Instagram,https://cookwithmonaarugambay.wordpress.com/,2026-08-11,0.99
