food_id,food_name,alternate_names,category,meal_type,typical_spice_level,vegetarian_possible,vegan_possible,key_components,bandarawela_relevance,recommendation_tags,source_type,source_url,verified_date,confidence
BAN-F013,Jackfruit Curry,Polos / kos curry,Vegetable curry,"Lunch,Dinner",Medium,Yes,Yes,Jackfruit cooked with Sri Lankan spices,Traditional village curry,"vegetarian,village-food",Official tourism context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.88
BAN-F014,Fish Curry,Sri Lankan fish curry,Fish curry,"Lunch,Dinner",Medium-High,No,No,Fish cooked in Sri Lankan curry spices,Common protein option,"fish,spicy",Cuisine context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
BAN-F015,Chicken Curry,Sri Lankan chicken curry,Meat curry,"Lunch,Dinner",Medium-High,No,No,Chicken cooked with roasted spices,Common protein option,"chicken,spicy",Cuisine context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
BAN-F016,Devilled Fish,Sri Lankan devilled fish,Main / stir-fry,"Lunch,Dinner",Medium-High,No,No,"Fish stir-fried with onion, capsicum and spicy-sweet sauce",Explicitly mentioned at Resto,"fish,devilled",Restaurant review evidence,https://www.tripadvisor.com/Restaurant_Review-g1051532-d13148339-Reviews-Resto-Bandarawela_Uva_Province.html,2026-08-11,0.94
BAN-F017,Nasi Goreng Sri Lankan Style,Nasi-goreng,Rice main,"Lunch,Dinner",Medium,No,No,Fried rice with Sri Lankan-style accompaniments,Explicitly mentioned at Resto,"fried-rice,mixed-cuisine",Restaurant review evidence,https://www.tripadvisor.com/Restaurant_Review-g1051532-d13148339-Reviews-Resto-Bandarawela_Uva_Province.html,2026-08-11,0.94
BAN-F018,Mango Juice,Fresh mango juice,Drink,Any,None,Yes,Yes,Fresh mango juice,Specifically praised at Dude's Hut,"juice,refreshing",Restaurant review evidence,https://www.tripadvisor.com/Restaurants-g1051532-zfp16-Bandarawela_Uva_Province.html,2026-08-11,0.92
BAN-F019,Ceylon Tea,Sri Lankan tea,Drink,Any,None,Yes,Yes,Black tea from Sri Lanka's hill country,Bandarawela is a tea-country base,"tea,hill-country",Regional tourism context,https://bandarawelahotel.com/,2026-08-11,0.96
BAN-F020,Milk Tea,Kiritea,Drink,"Breakfast,Snack",Sweet,Yes,Yes,Tea with milk and sugar,Common local tea-shop beverage,"tea,local",Regional context,https://bandarawelahotel.com/,2026-08-11,0.88
BAN-F021,Short Eats,Rolls / patties / buns,Snack,Snack,Varies,Some,Some,Savory bakery snacks and fried items,Common town snack category,"snack,budget",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
BAN-F022,Curd and Treacle,Kiri pani,Dessert,Dessert,Sweet,Yes,Yes,Buffalo curd with kithul treacle,Traditional dessert,"dessert,traditional",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
BAN-F023,Kiribath,Milk rice,Breakfast / ceremonial,Breakfast,Mild,Yes,Yes,Rice cooked with coconut milk,Traditional breakfast,"breakfast,traditional",Official tourism,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.9
BAN-F024,Vegetable Roti,Stuffed roti,Snack / main,"Breakfast,Lunch",Mild-Medium,Yes,Yes,Roti filled with vegetables,Useful vegetarian quick-meal option,"vegetarian,roti,budget",Cuisine context,https://www.srilanka.travel/culinary-tourism/,2026-08-11,0.86
BAN-F025,Herbal Tea,Herbal infusion,Drink,Any,None,Yes,Yes,Hot herbal infusion,Suitable to cool-climate / wellness travel,"herbal,hill-country",Regional context,https://bandarawelahotel.com/,2026-08-11,0.82
